uid,name
کیلومترمربع,کیلو(\u200c|\s*)متر(\u200c|\s*)مربع
فوتمربع,فوت(\u200c|\s*)مربع
اینچمربع,اینچ(\u200c|\s*)مربع
مایلمربع,مایل(\u200c|\s*)مربع
یاردمربع,یارد(\u200c|\s*)مربع
هکتار,هکتار
جریب(acre),جریب
جریب(acre),acre
متربرثانیه(m/s),متر(\u200c|\s*)بر(\u200c|\s*)ثانیه
متربرثانیه(m/s),m/s
فوتبرثانیه(fps),فوت(\u200c|\s*)بر(\u200c|\s*)ثانیه
فوتبرثانیه(fps),fps
کیلومتربرساعت(km/h),کیلو(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)ساعت
کیلومتربرساعت(km/h),km/h
مایلبرساعت(mph),مایل(\u200c|\s*)بر(\u200c|\s*)ساعت
مایلبرساعت(mph),mph
ماخ(درسطحدریا)(M),ماخ
ماخ(درسطحدریا)(M),درسطحدریا
ماخ(درسطحدریا)(M),M
ماخ(ارتفاع12کیلومتریسطحزمین)(M),ماخ
ماخ(ارتفاع12کیلومتریسطحزمین)(M),ارتفاع12کیلومتریسطحزمین
ماخ(ارتفاع12کیلومتریسطحزمین)(M),M
گره(knot),گره
گره(knot),knot
کیلومتربرثانیه(km/s),کیلو(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)ثانیه
کیلومتربرثانیه(km/s),km/s
مایلبرثانیه(mps),مایل(\u200c|\s*)بر(\u200c|\s*)ثانیه
مایلبرثانیه(mps),mps
متربردقیقه(m/min),متر(\u200c|\s*)بر(\u200c|\s*)دقیقه
متربردقیقه(m/min),m/min
متربرساعت(m/h),متر(\u200c|\s*)بر(\u200c|\s*)ساعت
متربرساعت(m/h),m/h
کیلومتربردقیقه(km/min),کیلو(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)دقیقه
کیلومتربردقیقه(km/min),km/min
مایلبردقیقه(mpm),مایل(\u200c|\s*)بر(\u200c|\s*)دقیقه
مایلبردقیقه(mpm),mpm
فوتبردقیقه(fpm),فوت(\u200c|\s*)بر(\u200c|\s*)دقیقه
فوتبردقیقه(fpm),fpm
فوتبرساعت(fph),فوت(\u200c|\s*)بر(\u200c|\s*)ساعت
فوتبرساعت(fph),fph
اینچبرثانیه(ips),اینچ(\u200c|\s*)بر(\u200c|\s*)ثانیه
اینچبرثانیه(ips),ips
اینچبردقیقه(ipm),اینچ(\u200c|\s*)بر(\u200c|\s*)دقیقه
اینچبردقیقه(ipm),ipm
اینچبرساعت(iph),اینچ(\u200c|\s*)بر(\u200c|\s*)ساعت
اینچبرساعت(iph),iph
سانتیمتربرثانیه(cm/s),سانتی(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)ثانیه
سانتیمتربرثانیه(cm/s),cm/s
سانتیمتربردقیقه(cm/min),سانتی(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)دقیقه
سانتیمتربردقیقه(cm/min),cm/min
سانتیمتربرساعت(cm/h),سانتی(\u200c|\s*)متر(\u200c|\s*)بر(\u200c|\s*)ساعت
سانتیمتربرساعت(cm/h),cm/h
نیوتن(N),نیوتن
نیوتن(N),N
گرم-نیرو(gf),گرم-نیرو
گرم-نیرو(gf),gf
کیلوگرم-نیرو(kgf),کیلو(\u200c|\s*)گرم-نیرو
کیلوگرم-نیرو(kgf),kgf
پوند-نیرو(lbf),پوند-نیرو
پوند-نیرو(lbf),lbf
اونس-نیرو(ozf),اونس-نیرو
اونس-نیرو(ozf),ozf
